esbCntcDt,forEmpTeu,forEmp_10,forEmp_20,forEmp_40,forEmp_99,GInOut,korEmpTeu,korEmp_10,korEmp_20,korEmp_40,korEmp_99,mm,ocCt,prtAtCode,yyyy
2025-03-25 14:34:27.000,0.00,0,0,0,0,2,0.00,0,0,0,0,10,2,030,2024
2025-03-25 14:34:27.000,5395.75,0,39,2675,3,1,142.00,0,2,70,0,11,1,030,2024
2025-03-25 14:34:27.000,66557.00,0,18832,22436,1268,2,9012.00,0,2280,3366,0,11,1,030,2024
2025-03-25 14:34:27.000,14.00,0,0,7,0,3,0.00,0,0,0,0,11,1,030,2024
2025-03-25 14:34:27.000,110.00,0,0,55,0,4,0.00,0,0,0,0,11,1,030,2024
2025-03-25 14:34:27.000,0.00,0,0,0,0,1,0.00,0,0,0,0,11,2,030,2024
2025-03-25 14:34:27.000,0.00,0,0,0,0,2,0.00,0,0,0,0,11,2,030,2024
2025-03-25 14:34:27.000,4917.00,0,293,2312,0,1,694.00,0,192,251,0,07,1,030,2024
2025-03-25 14:34:27.000,68835.00,0,19940,23282,1036,2,8984.00,0,1926,3529,0,07,1,030,2024
2025-03-25 14:34:27.000,1138.50,0,92,440,74,3,0.00,0,0,0,0,07,1,030,2024
2025-03-25 14:34:27.000,1485.50,0,181,569,74,4,0.00,0,0,0,0,07,1,030,2024
2025-03-25 14:34:27.000,0.00,0,0,0,0,1,0.00,0,0,0,0,07,2,030,2024
2025-03-25 14:34:27.000,0.00,0,0,0,0,2,0.00,0,0,0,0,07,2,030,2024
2025-03-25 14:34:27.000,9562.75,0,230,4663,3,1,459.00,0,19,220,0,09,1,030,2024
2025-03-25 14:34:27.000,65529.50,0,19347,21946,1018,2,6183.00,0,1749,2217,0,09,1,030,2024
2025-03-25 14:34:27.000,237.00,0,1,118,0,3,0.00,0,0,0,0,09,1,030,2024
2025-03-25 14:34:27.000,313.00,0,1,156,0,4,0.00,0,0,0,0,09,1,030,2024
2025-03-25 14:34:27.000,0.00,0,0,0,0,1,0.00,0,0,0,0,09,2,030,2024
2025-03-25 14:34:27.000,0.00,0,0,0,0,2,0.00,0,0,0,0,09,2,030,2024
2025-03-25 14:34:27.000,7307.00,0,241,3533,0,1,137.00,0,17,60,0,10,1,030,2024
2025-03-25 14:34:27.000,67882.75,0,18750,23177,1235,2,8865.00,0,2015,3425,0,10,1,030,2024
2025-03-25 14:34:27.000,174.50,0,0,85,2,3,0.00,0,0,0,0,10,1,030,2024
2025-03-25 14:34:27.000,60.00,0,0,30,0,4,0.00,0,0,0,0,10,1,030,2024
2025-03-25 14:34:27.000,0.00,0,0,0,0,1,0.00,0,0,0,0,10,2,030,2024
2025-01-17 10:40:22.000,9012.00,0,132,4440,0,1,246.00,0,16,115,0,12,1,030,2024
2025-01-17 10:40:22.000,73729.50,0,21926,24203,1510,2,10977.00,0,2505,4236,0,12,1,030,2024
2025-01-17 10:40:22.000,498.00,0,4,247,0,3,82.00,0,0,41,0,12,1,030,2024
